seed,budget_seconds,policy_cost,milp_oracle_cost_from_cache,gap_closure,serve_all_flag,n_window_solves,n_solves_hit_time_limit,n_solves_no_incumbent,n_solves_fallback_fired,measured_total_solve_seconds,measured_mean_per_decision_seconds,n_decisions,measured_total_build_seconds,mean_build_s,mean_solve_s,instance_wall_clock_seconds
90127,1.0,321.7336062122462,,,1,65,48,28,28,52.19692254520487,0.8030295776185364,77,6.02910374692874,0.09275544226044216,0.8030295776185364,58.46574779198272
90128,1.0,318.4363566014786,,,1,61,50,29,29,50.934247167024296,0.8349876584758081,77,5.100629997730721,0.08361688520870034,0.8349876584758081,56.240505082998425
90129,1.0,283.61865896895523,,,1,59,42,22,22,44.98748208506731,0.7624996963570732,71,4.485306332062464,0.0760221412213977,0.7624996963570732,49.66802187502617
90130,1.0,381.22261250111234,,,1,69,54,37,37,58.038024668814614,0.8411307923016611,90,6.959622961934656,0.10086410089760371,0.8411307923016611,65.24692725000205
90131,1.0,355.4313165598945,,,1,68,48,27,27,51.18261325068306,0.7526854889806333,84,5.05424478900386,0.07432712925005677,0.7526854889806333,56.450164832989685
90132,1.0,272.44136796947834,,,1,52,38,21,21,40.72527850116603,0.7831784327147313,66,3.642412251792848,0.07004638945755477,0.7831784327147313,44.52763029100606
90133,1.0,327.54127516915406,,,1,68,46,34,34,51.7613556633587,0.7611964068140985,81,6.678930754773319,0.09821956992313705,0.7611964068140985,58.68798216700088
90134,1.0,308.818159551943,,,1,63,50,27,27,52.01409820903791,0.8256206064926652,74,5.739204288169276,0.09109848076459168,0.8256206064926652,57.981415166985244
90135,1.0,360.6490942772615,,,1,74,53,30,30,57.21647628938081,0.773195625532173,87,6.133868836972397,0.0828901194185459,0.773195625532173,63.598762542009354
90136,1.0,264.84358016732926,,,1,57,39,20,20,40.96770762722008,0.718731712758247,67,4.266367166710552,0.07484854678439565,0.718731712758247,45.420810624957085
90137,1.0,411.49066164727435,,,1,80,60,40,40,64.0523306641262,0.8006541333015775,97,7.964247043884825,0.0995530880485603,0.8006541333015775,72.36626395903295
90138,1.0,308.194741667185,,,1,61,46,30,30,48.8966958312667,0.8015851775617492,75,4.906519869808108,0.08043475196406734,0.8015851775617492,54.003341374977026
90139,1.0,255.40371075635565,,,1,54,30,22,22,31.953095168748405,0.5917239846064519,65,3.6856924140593037,0.06825356322332043,0.5917239846064519,35.77897262497572
90140,1.0,249.56582013297907,,,1,53,39,22,22,42.541467663948424,0.802669201206574,64,5.798371376120485,0.10940323351170728,0.802669201206574,48.562099708011374
90141,1.0,313.25556255381264,,,1,65,45,28,28,48.13842479005689,0.7405911506162598,76,5.01365175191313,0.07713310387558663,0.7405911506162598,53.356022665975615
90142,1.0,190.01750881036753,,,1,37,27,15,15,28.816153539228253,0.7788149605196825,49,2.7069712909287773,0.07316138624131831,0.7788149605196825,31.63764229096705
90143,1.0,426.76793654546145,,,1,80,61,36,36,64.25860212277621,0.8032325265347027,97,6.638060914934613,0.08297576143668266,0.8032325265347027,71.16642862500157
90144,1.0,236.5462555915457,,,1,51,34,23,23,36.91947342309868,0.7239112435901702,62,4.263252250908408,0.08359318139036094,0.7239112435901702,41.35056554095354
90145,1.0,323.5975565707439,,,1,56,43,22,22,44.38323286885861,0.7925577298010467,72,3.5875886732246727,0.06406408345044058,0.7925577298010467,48.12644345802255
90146,1.0,405.95030608056425,,,1,73,57,34,34,59.85041724995244,0.8198687294514033,95,7.084943622990977,0.09705402223275311,0.8198687294514033,67.20296720799524
90147,1.0,359.5933998750468,,,1,67,49,30,30,52.92068504210329,0.789860970777661,83,5.795652789995074,0.08650228044768768,0.789860970777661,58.948967792035546
90148,1.0,299.70821250010874,,,1,59,47,27,27,47.62601874896791,0.8072206567621679,71,5.105240337899886,0.08652949725254044,0.8072206567621679,52.92936245800229
90149,1.0,271.355848258822,,,1,51,36,21,21,39.3404089557589,0.7713805677599785,65,3.2112872120924294,0.06296641592338097,0.7713805677599785,42.692141208972316
90150,1.0,384.1784468828665,,,1,72,53,37,37,56.31998566596303,0.7822220231383754,90,5.774812084855512,0.08020572340077099,0.7822220231383754,62.31408920802642
90151,1.0,318.2566090605118,,,1,59,44,26,26,47.49282207514625,0.804963086019428,72,4.961472711875103,0.08409275782839158,0.804963086019428,52.654401124978904
90152,1.0,258.56193785825076,,,1,54,41,22,22,43.11102424701676,0.7983523008706807,66,5.0419683360960335,0.0933697840017784,0.7983523008706807,48.35436804196797
90153,1.0,284.94461335125357,,,1,54,37,23,23,40.01794704212807,0.7410730933727421,68,3.9705807071295567,0.07352927235425105,0.7410730933727421,44.152233207947575
90154,1.0,372.2344559793924,,,1,72,58,35,35,62.195621587045025,0.8638280775978475,88,7.42485500103794,0.10312298612552695,0.8638280775978475,69.90748083300423
